frontUserName,content,createTime,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
1****0,严选的品质就是好   这款文胸很喜欢  跟商品介绍完全符合  刚买了款深杏色的  再加买一黑色的去,1560572979372,,2,,5,1616018,深杏色,80A
n****d,尺码偏小，换货了。,1565078630262,,5,,5,1616018,深杏色,75B
拍****子,"东西质量不错，样式也好，有弹力，给下面的MM做个参考，买小了，再买两件,真是很值得哦 什么都很好",1553338485377,,6,,5,1616018,深杏色,75B
水****,咨询客服后买了大一码，穿起来确实舒适包容性很好，准备再购黑色的。75c，买的是80c合适，供参考。,1565970868015,,4,,5,1616018,深杏色,80C
1****8,"169买的，刚收到货就降价60,有点黑",1567828993553,"{'id': 20336862, 'replyContent': '看到您的评论，小选很理解您的心情，非常抱歉给您带来的不愉快~目前此款商品参与限时购的活动,限时限量,暂不支持价格保护哦~您购买的规格,目前并无差价存在~若您后续有任何问题,均可联系客服反馈处理~感谢您的支持，祝您工作顺利，生活愉快！', 'createTime': '2019-09-07 16:25:19'}",4,,3,1616018,深杏色,75B
颜****红,不好意思买了三件穿，这个B杯可以厚度再稍薄点就更完美了,1561387994284,,5,,5,1616018,深杏色,80B
m****1,网易严选承包了家人的所有内衣、袜子和日用品，这次试着买了羊毛衫和T恤，同样也没有让我失望，款式中规中矩，材质亲肤柔软，喜欢！,1571561246419,,4,,5,1616018,深杏色,75C
m****3,太太太好穿了，收副乳很好，就是有点厚，夏天穿太热,1561293904435,,3,,5,1616018,深杏色,80A
m****3,太太太好穿了，收副乳很好，就是有点厚，夏天穿太热,1561293900530,,3,,5,1616018,黑色,80A
1****4,第二次回购。很好穿，优衣库跟这个不是一个档次的。缺点就是颜色太少，希望改进。,1572660807466,,4,,5,1616018,黑色,75A
Y****g,试穿了，很柔软，布料也很好，很舒服，就是不怎么遮副乳,1567994010157,,5,,5,1616018,深杏色,75C
谜****,不错，罩杯摸起来挺厚实，穿上没有厚实的感觉，聚拢效果不错,1567977708710,,3,,5,1616018,黑色,85B
1****6,入了严选，没有就逛逛觉得有用买买买，,1573205747609,,2,,5,1616018,黑色,85C
h****a,质量很好，码子有点偏小，已退货。,1570621505535,,5,,5,1616018,黑色,85C
1****7,非常好👍，如果有配套内裤就完美了，很舒适，做工也好，穿着外形好看也不勒人,1545197563390,,4,,5,1616018,深杏色,75C
1****0,一直信赖严选，东西不错，承包了我一年的内衣，哈哈,1572787108613,,6,,5,1616018,深杏色,85C
卜****霞,根本就不需要买大一码，换了75A的刚刚好,1569406228044,,3,,5,1616018,深杏色,75B
1****6,穿着聚拢效果不错，非常舒服，简约款，我喜欢,1573309169824,,4,,5,1616018,黑色,80C
F****o,希望可以出一款全罩杯的这样的内衣，太好穿了。,1571918738576,,5,,5,1616018,深杏色,75C
嗒****,特别舒服，以前怎么没发现网易有这款内衣呢,1571794982019,,5,,5,1616018,深杏色,80C
1****4,很舒服，性价比高，如果有多些颜色选择就更好了,1568768895904,,4,,5,1616018,黑色,75A
s****L,包装的很好，质量好穿着也好,1573140724259,,1,,5,1616018,深杏色,85C
m****9,非常赞的内衣,1573312763465,,5,,5,1616018,黑色,75A
1****6,聚拢效果很好,1573256820790,,1,,5,1616018,黑色,85C
1****6,聚拢超级好,1573256800824,,1,,5,1616018,深杏色,85C
笨****,紧致 舒适，不紧绷,1573177021250,,3,,5,1616018,黑色,80C
林****甜,未及时评价，默认好评,1571766896002,,4,"{'id': 98521010, 'createTime': 1573177810022, 'content': '回购的，好穿，舒服。', 'picList': [], 'commentReplyVO': None}",5,1616018,黑色,75A
顽****童,好,1573209524012,,6,,5,1616018,黑色,85C
风****,好,1573197041996,,5,,5,1616018,黑色,85C
夏****华,洗了还有一大股类似于胶的味道，不好,1570499138061,"{'id': 20340093, 'replyContent': '您好，感谢您对网易严选的关注~由于密封包装的原因，新品刚拆封时偶尔会带有一点包装味道，小选建议您可以在通风处放置一段时间，等待气味减少哦~希望您能一如既往地支持严选，祝您购物愉快！', 'createTime': '2019-10-08 17:27:09'}",3,,1,1616018,黑色,85B
1****9,高质量，舒服，有型，最爱严选，服务态度也棒棒哒。,1568648812800,,3,,5,1616018,黑色,75C
